semantic_id,category_name,role,semantic_group,RGB,HEX,source_taxonomy_file,source_palette_file,active_registry_file,used_for_training,used_for_decoding,notes
0,void,void,other_group,"[255, 255, 255]",#FFFFFF,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
1,floor,floor,other_group,"[222, 222, 222]",#DEDEDE,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
2,kids_bed,object,bed_group,"[32, 224, 32]",#20E020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
3,single_bed,object,bed_group,"[64, 32, 80]",#402050,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
4,double_bed,object,bed_group,"[224, 192, 32]",#E0C020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
5,corner_side_table,object,table_group,"[224, 64, 192]",#E040C0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
6,round_end_table,object,table_group,"[32, 224, 176]",#20E0B0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
7,coffee_table,object,table_group,"[112, 80, 32]",#705020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
8,console_table,object,table_group,"[112, 144, 224]",#7090E0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
9,tv_stand,object,storage_group,"[32, 112, 112]",#207070,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
10,desk,object,table_group,"[128, 176, 80]",#80B050,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
11,dressing_table,object,table_group,"[192, 80, 112]",#C05070,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
12,table,object,table_group,"[96, 64, 176]",#6040B0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
13,dining_table,object,table_group,"[224, 192, 128]",#E0C080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
14,stool,object,chair_group,"[208, 112, 32]",#D07020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
15,dressing_chair,object,chair_group,"[32, 96, 32]",#206020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
16,dining_chair,object,chair_group,"[80, 208, 224]",#50D0E0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
17,chinese_chair,object,chair_group,"[224, 144, 224]",#E090E0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
18,armchair,object,chair_group,"[160, 128, 144]",#A08090,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
19,chair,object,chair_group,"[176, 224, 32]",#B0E020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
20,lounge_chair,object,chair_group,"[80, 224, 112]",#50E070,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
21,loveseat_sofa,object,sofa_group,"[160, 32, 208]",#A020D0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
22,lazy_sofa,object,sofa_group,"[144, 208, 176]",#90D0B0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
23,sofa,object,sofa_group,"[32, 144, 192]",#2090C0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
24,multi_seat_sofa,object,sofa_group,"[144, 32, 112]",#902070,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
25,chaise_longue_sofa,object,sofa_group,"[144, 32, 32]",#902020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
26,l_shaped_sofa,object,sofa_group,"[80, 32, 32]",#502020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
27,nightstand,object,bed_group,"[224, 32, 128]",#E02080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
28,shelf,object,storage_group,"[224, 144, 128]",#E09080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
29,bookshelf,object,storage_group,"[144, 128, 32]",#908020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
30,children_cabinet,object,storage_group,"[48, 160, 32]",#30A020,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
31,wine_cabinet,object,storage_group,"[96, 112, 80]",#607050,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
32,cabinet,object,storage_group,"[32, 80, 160]",#2050A0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
33,wardrobe,object,storage_group,"[176, 96, 224]",#B060E0,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
34,pendant_lamp,object,lighting_group,"[80, 96, 128]",#506080,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
35,ceiling_lamp,object,lighting_group,"[32, 160, 96]",#20A060,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,yes,yes,SemLayoutDiff object category
36,door,architecture,other_group,"[18, 38, 220]",#1226DC,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
37,window,architecture,other_group,"[220, 34, 34]",#DC2222,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,artifacts/semantic_registry_v2/palette_frozen.json,artifacts/semantic_registry_v2/semantic_target_registry.json,no,yes,architecture/void semantic class
