semantic_id,active_category_name,official_semlayoutdiff_category_name,same_id,same_name,active_registry_file,official_source_file,provenance_ok,RGB_source,active_RGB,native_RGB,palette_changed,palette_change_reason
0,void,void,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,SemLayoutDiff native palette,"[255, 255, 255]","[255, 255, 255]",False,
1,floor,floor,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[222, 222, 222]","[211, 211, 211]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
2,kids_bed,kids_bed,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 224, 32]","[152, 223, 138]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
3,single_bed,single_bed,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[64, 32, 80]","[105, 183, 100]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
4,double_bed,double_bed,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 192, 32]","[44, 160, 44]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
5,corner_side_table,corner_side_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 64, 192]","[197, 176, 213]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
6,round_end_table,round_end_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 224, 176]","[187, 166, 212]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
7,coffee_table,coffee_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[112, 80, 32]","[178, 157, 212]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
8,console_table,console_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[112, 144, 224]","[169, 148, 211]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
9,tv_stand,tv_stand,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 112, 112]","[160, 139, 211]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
10,desk,desk,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[128, 176, 80]","[150, 129, 211]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
11,dressing_table,dressing_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[192, 80, 112]","[141, 120, 210]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
12,table,table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[96, 64, 176]","[132, 111, 210]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
13,dining_table,dining_table,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 192, 128]","[123, 102, 210]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
14,stool,stool,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[208, 112, 32]","[23, 190, 207]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
15,dressing_chair,dressing_chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 96, 32]","[162, 200, 236]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
16,dining_chair,dining_chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 208, 224]","[151, 193, 231]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
17,chinese_chair,chinese_chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 144, 224]","[140, 186, 226]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
18,armchair,armchair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[160, 128, 144]","[74, 146, 198]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
19,chair,chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[176, 224, 32]","[52, 132, 189]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
20,lounge_chair,lounge_chair,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 224, 112]","[31, 119, 180]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
21,loveseat_sofa,loveseat_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[160, 32, 208]","[243, 171, 207]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
22,lazy_sofa,lazy_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 208, 176]","[241, 166, 205]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
23,sofa,sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 144, 192]","[240, 161, 204]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
24,multi_seat_sofa,multi_seat_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 32, 112]","[241, 166, 205]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
25,chaise_longue_sofa,chaise_longue_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 32, 32]","[233, 140, 199]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
26,l_shaped_sofa,l_shaped_sofa,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 32, 32]","[227, 119, 194]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
27,nightstand,nightstand,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 32, 128]","[255, 217, 74]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
28,shelf,shelf,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[224, 144, 128]","[215, 216, 130]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
29,bookshelf,bookshelf,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[144, 128, 32]","[212, 213, 119]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
30,children_cabinet,children_cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[48, 160, 32]","[206, 207, 98]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
31,wine_cabinet,wine_cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[96, 112, 80]","[200, 201, 76]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
32,cabinet,cabinet,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 80, 160]","[194, 195, 55]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
33,wardrobe,wardrobe,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[176, 96, 224]","[188, 189, 34]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
34,pendant_lamp,pendant_lamp,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[80, 96, 128]","[255, 187, 120]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
35,ceiling_lamp,ceiling_lamp,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[32, 160, 96]","[255, 127, 14]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
36,door,door,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[18, 38, 220]","[153, 0, 0]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
37,window,window,True,True,artifacts/semantic_registry_v2/semantic_target_registry.json,preprocess/metadata/unified_idx_to_generic_label_w_arch.json,True,LoReflection robust palette,"[220, 34, 34]","[255, 153, 153]",True,LoReflection robust RGB palette for deterministic reverse decoding; semantic ID/name unchanged.
