sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,action_specific_iou,edit_success,white_region_floor_or_target_accuracy,source_removed_or_replaced,old_region_target_pixels,old_region_cleared,new_region_target_present
add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ADD,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. ADD exactly one dressing_table inside the white target region and preserve all black regions.",0.5323017408123791,1.0,0.3367958068847656,1.0,0.9662838642833883,1.7320508075688772,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,18,5,0.0,0.0,,,0.0,False,,,,,
c12_1_add_dfb54c79-6d74-454e-8bce-a6898527daba_MasterBedroom-64939_add-1_18,ADD,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. ADD exactly one tv_stand inside the white target region and preserve all black regions.",0.2726337448559671,1.0,0.3256263732910156,1.0,2.471313945027206,4.58257569495584,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,7242,17,5,1.0,1.0,,,1.0,False,,,,,
add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ADD,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. ADD exactly one double_bed inside the white target region and preserve all black regions.",0.23387096774193547,1.0,0.293212890625,1.0,0.9673238842798848,1.7320508075688772,0.75,0.75,0.75,0.75,1,57,19,7,1.0,1.0,,,1.0,False,,,,,
remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra dressing_table inside the white source region and restore valid floor/background.",1.0,1.0,0.347564697265625,1.0,0.9764569286033076,1.7320508075688772,1.0,1.0,1.0,1.0,0,0,18,5,,,1.0,0,1.0,True,1.0,True,,,
c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra nightstand inside the white source region and restore valid floor/background.",1.0,1.0,0.304656982421875,1.0,0.9965676466634117,1.7320508075688772,1.0,1.0,1.0,1.0,0,0,11,3,,,1.0,0,1.0,True,1.0,True,,,
remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REMOVE the extra double_bed inside the white source region and restore valid floor/background.",0.8914728682170543,1.0,0.35620880126953125,1.0,0.9140497400039461,1.7320508075688772,0.6666666666666666,0.6,0.75,0.6666666666666666,2,53,18,6,,,1.0,0,0.8914728682170543,False,0.8914728682170543,True,,,
translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the dressing_table by clearing the old region and painting exactly one object in the new region.",0.8762088974854932,1.0,0.3423576354980469,1.0,0.9781984009286574,1.7320508075688772,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,18,5,0.0,0.0,0.0,0,0.0,False,,,0,True,False
c12_1_translate_66f67e6f-2c22-473c-9997-0690a62661ec_Bedroom-7423_pose-1-0_12,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the double_bed by clearing the old region and painting exactly one object in the new region.",0.5643309413254538,1.0,0.3145751953125,1.0,1.6425918002053705,2.449489742783178,0.7272727272727273,0.6666666666666666,0.8,0.7272727272727273,2,3977,21,6,1.0,1.0,1.0,0,1.0,False,,,0,True,False
translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. TRANSLATE the dressing_table by clearing the old region and painting exactly one object in the new region.",0.7872727272727272,1.0,0.3179283142089844,1.0,0.9970814948640014,1.7320508075688772,0.8571428571428571,1.0,0.75,0.8571428571428571,0,0,19,5,0.0,0.0,0.0,0,0.0,False,,,0,True,False
c12_1_replace_round2_1_ce51b1c1-72b8-4812-a291-30bf97c07aa1_Bedroom-32206_replace-7_12,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE corner_side_table with round_end_table inside the white region and do not add extra objects.",0.7689969604863222,1.0,0.2827301025390625,1.0,0.8895535824949233,1.7320508075688772,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,0,0,13,5,1.0,1.0,1.0,0,1.0,False,,True,,,
c12_1_replace_round2_reverse_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2_opposite,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE loveseat_sofa with lazy_sofa inside the white region and do not add extra objects.",0.2301079202487653,1.0,0.3459014892578125,1.0,1.1288875569611756,2.449489742783178,0.8,0.8,0.8,0.8,1,240,20,6,0.0,0.0,1.0,0,0.0,False,,True,,,
c12_1_replace_4184f131-20fd-40ab-ad3e-d4ac14c0aae6_SecondBedroom-15677_replace-5_2,REPLACE,"Fixed-palette top-down semantic layout. White mask means repaint, black means preserve. REPLACE lazy_sofa with loveseat_sofa inside the white region and do not add extra objects.",0.20440826778854948,1.0,0.3042259216308594,1.0,1.9759009546031079,4.123105625617661,0.8888888888888888,0.8,1.0,0.8888888888888888,1,8424,20,6,1.0,1.0,1.0,0,1.0,False,,True,,,
