action,sample_id,I_bad_palette_ok,I_target_palette_ok,mask_binary,metadata_paths_exist,prompt_nonempty,changed_pixels_inside_mask,changed_pixels_outside_mask,no_op,action_type,execution_mode,no_rotate_scale,null_category,status
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,True,True,True,True,True,1419,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,True,True,True,True,True,777,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,True,True,True,True,True,12240,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,True,True,True,True,True,16940,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,True,True,True,True,True,1452,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,True,True,True,True,True,837,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,True,True,True,True,True,868,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,True,True,True,True,True,2016,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,True,True,True,True,True,20948,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,True,True,True,True,True,858,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,True,True,True,True,True,858,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,True,True,True,True,True,2420,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,True,True,True,True,True,2149,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,True,True,True,True,True,832,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,True,True,True,True,True,960,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16,True,True,True,True,True,3683,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_017_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-0_18,True,True,True,True,True,14210,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_018_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-1_0,True,True,True,True,True,3267,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-5_8,True,True,True,True,True,800,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_add-6_14,True,True,True,True,True,800,0,False,ADD,semantic_repair,True,False,PASS
REMOVE,remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,True,True,True,True,True,1419,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,True,True,True,True,True,777,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,True,True,True,True,True,12240,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,True,True,True,True,True,16940,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,True,True,True,True,True,1452,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0,True,True,True,True,True,837,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14,True,True,True,True,True,868,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18,True,True,True,True,True,2016,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18,True,True,True,True,True,20948,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0,True,True,True,True,True,858,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-2_4,True,True,True,True,True,858,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-3_8,True,True,True,True,True,2420,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-1_4,True,True,True,True,True,2149,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-2_0,True,True,True,True,True,832,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-3_10,True,True,True,True,True,960,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_remove-4_16,True,True,True,True,True,3683,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_017_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-0_18,True,True,True,True,True,14210,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_018_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-1_0,True,True,True,True,True,3267,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-5_8,True,True,True,True,True,800,0,False,REMOVE,semantic_repair,True,False,PASS
REMOVE,remove_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_remove-6_14,True,True,True,True,True,800,0,False,REMOVE,semantic_repair,True,False,PASS
TRANSLATE,translate_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6-opposite,True,True,True,True,True,2236,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-0_6,True,True,True,True,True,2236,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14-opposite,True,True,True,True,True,1554,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_pose-1-2_14,True,True,True,True,True,1554,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-3_2-opposite,True,True,True,True,True,1364,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-3_2,True,True,True,True,True,1364,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-4_16-opposite,True,True,True,True,True,1395,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-4_16,True,True,True,True,True,1395,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_009_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-5_22-opposite,True,True,True,True,True,3528,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_010_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_pose-1-5_22,True,True,True,True,True,3528,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-0_22-opposite,True,True,True,True,True,19812,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-0_22,True,True,True,True,True,19812,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_013_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-1_2-opposite,True,True,True,True,True,1300,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_014_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-1_2,True,True,True,True,True,1300,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_015_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-2_6-opposite,True,True,True,True,True,1300,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_016_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_pose-1-2_6,True,True,True,True,True,1300,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_017_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_pose-1-1_8-opposite,True,True,True,True,True,4003,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_018_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_pose-1-1_8,True,True,True,True,True,4003,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_pose-1-5_12-opposite,True,True,True,True,True,1408,0,False,TRANSLATE,semantic_repair,True,False,PASS
TRANSLATE,translate_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_pose-1-5_12,True,True,True,True,True,1408,0,False,TRANSLATE,semantic_repair,True,False,PASS
REPLACE,replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,True,True,True,True,True,641,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,True,True,True,True,True,641,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,True,True,True,True,True,129,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,True,True,True,True,True,129,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,True,True,True,True,True,2944,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_006_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20,True,True,True,True,True,2944,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-0_6-opposite,True,True,True,True,True,8540,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-0_6,True,True,True,True,True,8540,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_009_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-5_20-opposite,True,True,True,True,True,748,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_010_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_replace-5_20,True,True,True,True,True,748,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-0_20-opposite,True,True,True,True,True,4986,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-0_20,True,True,True,True,True,4986,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_013_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-3_10-opposite,True,True,True,True,True,2260,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_014_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_replace-3_10,True,True,True,True,True,2260,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-1_6-opposite,True,True,True,True,True,864,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-1_6,True,True,True,True,True,864,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_017_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-4_18-opposite,True,True,True,True,True,1222,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_018_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_replace-4_18,True,True,True,True,True,1222,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_019_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_replace-0_20-opposite,True,True,True,True,True,4230,0,False,REPLACE,semantic_repair,True,False,PASS
REPLACE,replace_020_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_replace-0_20,True,True,True,True,True,4230,0,False,REPLACE,semantic_repair,True,False,PASS
